Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2016-11-22,38.78781227111816,,45.56395366668701,16.019469842910766,48.135994338989256,40.53480085372925,41.6674702835083,23.41173650741577,36.724961585998535,60.77911014556885,71.54742691040039
2016-11-23,38.830959701538085,,45.63322065353393,16.045515851974486,48.19387828826904,40.57810083389282,41.67499574661255,23.421510496139526,36.72903739929199,60.80237628936768,71.61576454162598
2016-11-25,38.87829126358032,,45.70202297210693,16.073793649673462,48.257312240600584,40.62266777038574,41.68565664291382,23.43429280281067,36.738667526245116,60.83125032424927,71.68519411087036
2016-11-28,38.9200301361084,,45.762524127960205,16.098151664733887,48.31476806640625,40.66499723434448,41.69403257369995,23.446506576538084,36.75225122451782,60.854247856140134,71.7459366607666
2016-11-29,38.95945665359497,,45.81812097549439,16.12164384365082,48.36821937561035,40.7043271446228,41.70113107681274,23.45949638366699,36.765521144866945,60.87402191162109,71.80006587982177
2016-11-30,38.997796821594235,,45.87995740890503,16.14545753955841,48.41872285842896,40.73739368438721,41.70296756744385,23.468013191223143,36.7733814239502,60.88740016937256,71.84410942077636
2016-12-01,39.03671695709229,,45.944855308532716,16.171332092285155,48.47111074447632,40.76672470092773,41.70439296722412,23.473566236495973,36.77707859039307,60.900369510650634,71.89049842834473
2016-12-02,39.07770536422729,,46.0109538269043,16.19614670276642,48.52387762069702,40.796693592071534,41.70677261352539,23.48029848098755,36.783505287170414,60.914328956604,71.93393508911133
2016-12-05,39.11710348129272,,46.074420337677005,16.220985894203185,48.5727597618103,40.82628789901733,41.708418140411375,23.486328582763672,36.788167572021486,60.92375560760498,71.9750740814209
2016-12-06,39.160970001220704,,46.14414535522461,16.2479629278183,48.62435012817383,40.859430198669436,41.71069549560547,23.493380765914917,36.79234243392944,60.93613834381104,72.01892711639404
2016-12-07,39.20611763000488,,46.214012451171875,16.276636028289794,48.68083009719849,40.89527265548706,41.7152370262146,23.502674322128296,36.798010158538816,60.94503295898438,72.06813610076904
2016-12-08,39.25049896240235,,46.28512691497803,16.3052574634552,48.732897720336915,40.92937549591065,41.716694850921634,23.51188747406006,36.80221021652222,60.95094440460205,72.11401020050049
2016-12-09,39.29244161605835,,46.35591875076294,16.333581671714782,48.78591325759888,40.96556129455566,41.72391439437866,23.52026834487915,36.81312917709351,60.960953826904294,72.16111080169678
2016-12-12,39.33449523925781,,46.430156803131105,16.36171148777008,48.83933502197266,41.00236473083496,41.73262477874756,23.52997612953186,36.82545757293701,60.97695837020874,72.20677806854248
2016-12-13,39.371789875030515,,46.50238676071167,16.38768560886383,48.888067665100095,41.03647388458252,41.74038005828857,23.537451667785646,36.840522651672366,60.98931772232056,72.24698623657227
