Date,Top 3 Sectors,Weights
2021-11-30,"['XLY', 'XLE', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2021-12-31,"['XLU', 'XLV', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-01-31,"['XLP', 'XLE', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-02-28,"['XLE', 'XLP', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-03-31,"['XLE', 'XLU', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-04-30,"['XLE', 'XLU', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-05-31,"['XLU', 'XLE', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-06-30,"['XLE', 'XLU', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-07-31,"['XLU', 'XLV', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-08-31,"['XLU', 'XLP', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-09-30,"['XLE', 'XLF', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-10-31,"['XLE', 'XLV', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-11-30,"['XLV', 'XLE', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2022-12-31,"['XLP', 'XLI', 'XLV']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-01-31,"['XLB', 'XLC', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-02-28,"['XLF', 'XLB', 'XLI']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-03-31,"['XLK', 'XLC', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-04-30,"['XLP', 'XLK', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-05-31,"['XLK', 'XLC', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-06-30,"['XLC', 'XLY', 'XLK']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-07-31,"['XLK', 'XLY', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-08-31,"['XLE', 'XLI', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-09-30,"['XLE', 'XLC', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-10-31,"['XLE', 'XLC', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-11-30,"['XLF', 'XLK', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2023-12-31,"['XLK', 'XLRE', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-01-31,"['XLF', 'XLV', 'XLRE']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-02-29,"['XLV', 'XLI', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-03-31,"['XLV', 'XLF', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-04-30,"['XLE', 'XLU', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-05-31,"['XLU', 'XLE', 'XLB']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-06-30,"['XLC', 'XLK', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-07-31,"['XLRE', 'XLU', 'XLC']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-08-31,"['XLRE', 'XLV', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-09-30,"['XLU', 'XLRE', 'XLP']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-10-31,"['XLC', 'XLI', 'XLF']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-11-30,"['XLC', 'XLY', 'XLU']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
2024-12-31,"['XLC', 'XLF', 'XLY']","[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]"
